quantity,price_paid_deal,price_paid_non_deal,coupon_value,promotion_type,size1_descr,flavor_descr,formula_descr,household_id,household_size,household_income,age_of_female_head,age_of_male_head,age_and_presence_of_children,male_head_employment,female_head_employment,male_head_education,female_head_education,marital_status,male_head_occupation,female_head_occupation,household_composition,race,hispanic_origin,region,scantrack_market_identifier,fips_state_code,fips_county_code,type_of_residence,kitchen_appliances,tv_items,female_head_birth,male_head_birth,household_internet_connection
1,3.66,0,0,1,16.0 MLOZ,VERMONTY PYTHON,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
2,3.98,0,0,1,16.0 MLOZ,CINNAMON BUNS,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
1,0,3.99,0,,16.0 MLOZ,MINT CHC CHUNK,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
1,0,4.15,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,24,3,1,7,3,10/1/64,"",1
1,0,3.59,0,,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,26,145,1,7,3,10/1/43,"",1
2,0,5,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,2002466,1,23,8,0,9,0,3,0,4,4,1,1,5,1,2,2,,31,79,1,7,1,1/1/48,"",2
1,1.99,0,0,1,16.0 MLOZ,KARAMEL SUTRA,REGULAR,2002466,1,23,8,0,9,0,3,0,4,4,1,1,5,1,2,2,,31,79,1,7,1,1/1/48,"",2
1,3,0,0,1,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,37,67,1,7,2,10/1/45,"",1
1,4.39,0,0,1,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,37,67,1,7,2,10/1/45,"",1
1,0,4.38,0,,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,37,67,1,7,2,10/1/45,"",1
1,3.34,0,0,1,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,37,67,1,7,2,10/1/45,"",1
1,0,2.99,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,13,135,1,4,1,10/1/68,10/1/68,1
2,7.04,0,2,3,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,13,135,1,4,1,10/1/68,10/1/68,1
1,3,0,1.49,2,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,24,5,1,7,1,10/1/54,"",1
1,3.2,0,1.49,2,16.0 MLOZ,CAKE BATTER,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,24,5,1,7,1,10/1/54,"",1
1,3.25,0,0.99,2,16.0 MLOZ,CHERRY GRCA,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,24,5,1,7,1,10/1/54,"",1
1,3.5,0,0.99,2,16.0 MLOZ,PHISH FOOD,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,24,5,1,7,1,10/1/54,"",1
1,3.99,0,0.5,2,16.0 MLOZ,MINT CHC CHUNK,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,24,5,1,7,1,10/1/54,"",1
1,0,3.99,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,34,3,1,7,2,10/1/42,10/1/24,1
1,0,3.12,0,,16.0 MLOZ,PHISH FOOD,LIGHT HALF THE FAT,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,34,3,1,7,2,10/1/42,10/1/24,1
1,3,0,0,1,16.0 MLOZ,CHERRY GRCA,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,34,3,1,7,2,10/1/42,10/1/24,1
4,0,10,0,,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,34,3,1,7,2,10/1/42,10/1/24,1
2,0,7.98,0,,16.0 MLOZ,CAKE BATTER,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,34,3,1,7,2,10/1/42,10/1/24,1
1,0,3.48,0,,16.0 MLOZ,MINT CHC CHUNK,REGULAR,2006317,2,27,6,6,9,3,3,6,6,1,2,2,1,1,1,3,42,51,59,1,7,1,10/1/62,10/1/61,2
1,3,0,0,1,16.0 MLOZ,CHC,REGULAR,2007097,2,21,9,0,9,0,9,0,4,2,12,12,2,1,2,3,42,24,33,1,5,2,10/1/27,"",2
1,0,4.15,0,,16.0 MLOZ,VAN,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,24,3,1,7,3,10/1/64,"",1
1,3,0,0,1,16.0 MLOZ,AMERICONE DREAM,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,24,3,1,7,3,10/1/64,"",1
1,0,4.15,0,,16.0 MLOZ,VAN,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,24,3,1,7,3,10/1/64,"",1
1,0,4.15,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,24,3,1,7,3,10/1/64,"",1
1,2.79,0,0,1,16.0 MLOZ,KARAMEL SUTRA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,16.0 MLOZ,KARAMEL SUTRA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
1,2.64,0,0,1,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
1,3.08,0,0,1,16.0 MLOZ,VAN CARAMEL FUDGE,REGULAR,2007097,2,21,9,0,9,0,9,0,4,2,12,12,2,1,2,3,42,24,33,1,5,2,10/1/27,"",2
1,2.99,0,0,1,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2007171,1,23,8,0,9,0,3,0,4,2,1,1,5,1,2,2,2,17,31,1,7,1,10/1/43,"",1
1,3,0,0,1,16.0 MLOZ,VERMONTY PYTHON,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3.1,0,0,1,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3.19,0,0,1,16.0 MLOZ,HALF BAKED,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3,0,0,1,16.0 MLOZ,NEAPOLITAN DYNAMITE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,0,3.25,0,,16.0 MLOZ,BROWNIE BATTER,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,0,4.59,0,,16.0 MLOZ,STR CSK,REGULAR,2003086,2,29,8,8,9,2,1,5,5,1,1,1,1,1,2,2,2,17,31,1,1,2,10/1/44,10/1/43,2
2,7.28,0,0,4,16.0 MLOZ,AMERICONE DREAM,REGULAR,2003086,2,29,8,8,9,2,1,5,5,1,1,1,1,1,2,2,2,17,31,1,1,2,10/1/44,10/1/43,2
1,2.5,0,0,1,16.0 MLOZ,CHERRY GRCA,REGULAR,2003463,2,21,8,8,9,3,3,6,6,1,2,1,1,1,2,3,14,13,45,1,4,1,10/1/47,10/1/46,1
1,0,3,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2003463,2,21,8,8,9,3,3,6,6,1,2,1,1,1,2,3,14,13,45,1,4,1,10/1/47,10/1/46,1
1,0,1.99,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,2003499,2,15,6,9,9,9,9,5,5,1,12,12,1,1,2,3,14,13,291,1,7,2,10/1/58,10/1/38,2
1,0,3.49,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,3.99,0,,16.0 MLOZ,OXFORD MINT CHC COOKIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,3.99,0,0.5,2,16.0 MLOZ,CHERRY GRCA,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,24,5,1,7,1,10/1/54,"",1
1,3.99,0,0,1,16.0 MLOZ,PB CUP,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,51,59,1,7,2,10/1/62,"",1
1,3.99,0,0,1,16.0 MLOZ,PHISH FOOD,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,51,59,1,7,2,10/1/62,"",1
1,3.99,0,0,1,16.0 MLOZ,HALF BAKED,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,51,59,1,7,2,10/1/62,"",1
1,3.99,0,0,1,16.0 MLOZ,OXFORD MINT CHC COOKIE,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,51,59,1,7,2,10/1/62,"",1
1,3.42,0,0,1,16.0 MLOZ,PHISH FOOD,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,51,59,1,7,2,10/1/62,"",1
1,3,0,2,3,16.0 MLOZ,PB CUP,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,51,59,1,7,2,10/1/62,"",1
1,2.79,0,0,1,16.0 MLOZ,AMERICONE DREAM,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,16.0 MLOZ,CHERRY GRCA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,16.0 MLOZ,PHISH FOOD,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
1,2.64,0,0,1,16.0 MLOZ,CHERRY GRCA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,6,7,7,4,3,1/1/40,10/1/40,2
2,7,0,1,3,16.0 MLOZ,CINNAMON BUNS,REGULAR,2005579,3,21,8,8,9,3,1,4,3,1,8,8,1,1,2,3,30,24,510,1,1,2,10/1/48,10/1/46,2
2,6,0,1,3,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2005579,3,21,8,8,9,3,1,4,3,1,8,8,1,1,2,3,30,24,510,1,1,2,10/1/48,10/1/46,2
2,6.92,0,0,1,16.0 MLOZ,PB CUP,REGULAR,2004463,3,21,7,8,3,9,3,5,3,1,12,1,1,2,2,3,42,24,21,3,3,3,10/1/57,10/1/50,1
4,4.5,0,1,3,16.0 MLOZ,CHERRY GRCA,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,17,31,3,1,1,1/1/56,"",2
2,2.25,0,0.5,3,16.0 MLOZ,CREME BRULEE,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,17,31,3,1,1,1/1/56,"",2
2,2.25,0,0.5,3,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,17,31,3,1,1,1/1/56,"",2
2,2.25,0,0.5,3,16.0 MLOZ,TRIPLE CARAMEL CHUNK,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,17,31,3,1,1,1/1/56,"",2
4,4.5,0,1,3,16.0 MLOZ,IMAGINE WHIRLED PEACE,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,17,31,3,1,1,1/1/56,"",2
2,2.25,0,0.5,3,16.0 MLOZ,BANANA SPLIT,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,17,31,3,1,1,1/1/56,"",2
1,0,2.49,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,36,69,1,2,1,10/1/44,"",2
1,0,4.99,0,,32.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,36,69,1,2,1,10/1/44,"",2
1,0,4.99,0,,32.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,36,69,1,2,1,10/1/44,"",2
1,0,3.19,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,36,69,1,2,1,10/1/44,"",2
1,0,4.99,0,,32.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,36,69,1,2,1,10/1/44,"",2
2,8.98,0,5.49,3,16.0 MLOZ,AMERICONE DREAM,REGULAR,2001331,1,17,9,0,9,0,9,0,4,2,12,12,5,1,2,1,24,42,91,1,4,1,10/1/22,"",2
2,5.39,0,5.39,3,16.0 MLOZ,VAN,REGULAR,2001331,1,17,9,0,9,0,9,0,4,2,12,12,5,1,2,1,24,42,91,1,4,1,10/1/22,"",2
1,3.34,0,0,1,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,2001983,3,13,7,8,9,9,9,5,5,1,12,12,1,1,2,1,25,42,7,1,4,2,10/1/53,10/1/48,2
1,0,3,0,,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,2001983,3,13,7,8,9,9,9,5,5,1,12,12,1,1,2,1,25,42,7,1,4,2,10/1/53,10/1/48,2
1,0,3.17,0,,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,13,135,1,7,3,"",1/1/49,2
1,0,3.89,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,13,135,1,7,3,"",1/1/49,2
1,0,3.33,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,13,135,1,7,3,"",1/1/49,2
1,0,2.99,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,13,135,1,7,3,"",1/1/49,2
1,0,2.99,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,13,135,1,7,3,"",1/1/49,2
2,5,0,0,1,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,48,29,1,7,3,10/1/29,10/1/28,1
1,0,2.84,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,48,29,1,7,3,10/1/29,10/1/28,1
2,0,5,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,48,29,1,7,3,10/1/29,10/1/28,1
1,0,2.84,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,48,29,1,7,3,10/1/29,10/1/28,1
4,8.96,0,0,1,16.0 MLOZ,TRIPLE CARAMEL CHUNK,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,48,29,1,7,3,10/1/29,10/1/28,1
2,0,5,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,48,29,1,7,3,10/1/29,10/1/28,1
1,0,3,0,,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2002422,2,18,0,8,2,3,0,4,0,3,3,,3,1,2,2,28,29,187,3,7,2,"",10/1/49,1
1,0,3.13,0,,16.0 MLOZ,BROWNIE BATTER,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3.17,0,0,1,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,0,3,0,,16.0 MLOZ,NEAPOLITAN DYNAMITE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3.17,0,0,1,16.0 MLOZ,PHISH FOOD,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,0,3.21,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3,0,0,1,16.0 MLOZ,TURTLE SOUP,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3,0,0,1,16.0 MLOZ,BROWNIE BATTER,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,0,2.66,0,,16.0 MLOZ,IMAGINE WHIRLED PEACE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,3.99,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,2.99,0,,16.0 MLOZ,PB CUP,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,3.99,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,2.66,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,3.99,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,2.66,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,34,23,6,4,2,10/1/58,"",2
1,0,3.51,0,,16.0 MLOZ,KARAMEL SUTRA,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3.07,0,0,1,16.0 MLOZ,PHISH FOOD,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,24,33,1,7,3,1/1/59,10/1/57,1
1,3.49,0,0,1,16.0 MLOZ,CINNAMON BUNS,REGULAR,2009026,2,23,5,6,9,3,3,5,4,1,2,1,1,1,2,2,2,17,111,1,7,1,10/1/64,1/1/59,1
